figure,status,result_kind,path,bytes,sha256
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Squidpy_comparison_DLPFC_REVERS.svg,152862,4798a4a353b23afaba22d143ddcfec68b10edbae4b166ef9cdb7f35d575a4cb5
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Squidpy_edge_dropout_plot.svg,39236,2c8f0e3cd3f39cd6dfbea173d8d8bf6774cfaa949ecc8430b30c1a03ad218051
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Squidpy_edge_equalization_plot.svg,80801,ac84595decee01216a9af19a189ab61eab417be46d978a6ffb0cd85dd7424d01
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Squidpy_gradient_change_plot.svg,80754,ba43ea3980df7495c61fa30ba8c7eb986030c171a51e5e23c195722e9d6297d3
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Squidpy_normality_qq_DLPFC_equal.svg,92934,a506f8fe2a4fb86b6faa7bc4b55c7ae2922523e890ff21d8d2e1ae2877ab4ed1
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/Squidpy_normality_qq_DLPFC_REVERS.svg,92919,2cc77b94d6965e883bbde49aeca68873c4bb4f37f16b77978ab778b30d44fd14
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_comparison_DLPFC_equal.svg,207194,d0848976057317720ef37726f0f4f7aefa9b082d16a7278f3bbb9b2fef55f406
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_comparison_DLPFC_REVERS.svg,207084,dc88c731eaffdaac5ef1c0d38477840b92fb5695409c354cea79a7abb545469a
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_edge_dropout_plot.svg,39151,3723acccd1ed104f3f85ac25a15bcd5311030a0df3eee73d9474f142be086b3e
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_edge_equalization_plot.svg,107899,8ceaf80ee002e5a89f2e5f1527579e72b62ddea985df52243b43f36592258cb1
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_gradient_change_plot.svg,107896,9e3a68fa508eb37ff2c1c0b3692a7555b82a1212714efcc4f282447a7b366376
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_normality_qq_DLPFC_equal.svg,128069,36b0d27d0bc1e89e6a8d25a86938ca2611ddf1c3b8a2e82fa65188ab30c7c81a
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_normality_qq_DLPFC_REVERS.svg,127807,315b8077f450d20d6b9b2cfe968fa92dca02269691a1b662613d8d35415fbee6
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_without_spotmixture_comparison_DLPFC_equal.svg,206427,bc98728f2b94056822b50173d69d5032142b4af626d982d56021e73fcf46e71f
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_without_spotmixture_comparison_DLPFC_REVERS.svg,206270,a3a0033594d019521c6b400772266a02fb96be5258af3e80bbd3b45facf2ac0c
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_without_spotmixture_edge_dropout_plot.svg,39173,ac33cde0c74a2994f634a679755fb95642c5d111546a95d8eec306855244a0f1
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_without_spotmixture_edge_equalization_plot.svg,107599,a5205abf80ebaa06049a3e2b920ebb1d4f29ecba82c3b4b3cf35b93ab7c32591
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_without_spotmixture_gradient_change_plot.svg,107433,ed442784bf009ef3e29d279890d8d2e66283842db92e098ccdcbb78a4fe61fa5
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_without_spotmixture_normality_qq_DLPFC_equal.svg,127830,24fe1353fc08fb44427a988b1d99ae4b4353cd6823c1bfae823be5f3e9ae57b9
Figure3,computational_panels_manual_final_assembly,generated,figures/Figure3/results/generated/stLearn_without_spotmixture_normality_qq_DLPFC_REVERS.svg,127578,a48eaef696758e3080910ff8cc067b6ce35a947b0619c9881a12bbd57de8172c
Figure4,computational_figure4b_manual_figure4a_assembly,input,figures/Figure4/inputs/processed_noise.csv,4351,9bcc9c92ce9a76abbf4604273dd30e2fccb34e8dd292905c5e551edba3136612
Figure4,computational_figure4b_manual_figure4a_assembly,input,figures/Figure4/inputs/result_summary.csv,3596,10ecf0e8294f306698d7d7b7544a443c7d26f30bc46d7ac10ad074e2201941e2
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/Figure4.svg,5892952,07e89081caa7e0d0adb7a74bdf24544bf0620d7437b1b67051017e0c91c9c9de
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/Baseline_1_spider_plot.svg,56614,d63fb31e6b15d89401f3635c9ebde42c69893e800797094abdd7012708e001d6
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/Baseline_2_spider_plot.svg,56610,05842f88f2c224592efb5d116d4f5158be53bcb8a9cb615420e137c127afcba5
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/CellAgentChat_spider_plot.svg,56789,80f31b8ccddbb2e90332f81150ebdf4201566e216c5146aa469e4d6f54cfab4d
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/COMMOT_spider_plot.svg,56781,cb50ff0eca889738f5201377abf04a2c6e711f66b16dd40b0faf2fa28f897c39
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/Giotto_spider_plot.svg,56800,6d39d2e45b19b1ac1941340ebfd962c6cf1259ddfeb2cceb3083a0f33898ada0
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/precision_recall_f1_legend.svg,3773,21d3a6b164f708e7ec4595bcd287be4f2d3dc4e3360664a5d1910b15e700cb5d
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/SpaTalk_spider_plot.svg,56790,e45cb5e69ac3400800218fdded3782beb4a0201a42525c0d6d97c879f26efcdd
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/SpatialDM_spider_plot.svg,56821,3d431b30ba601ec0078e29284821c0b6b48bc251ef3ff21239e5972a55728592
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/Squidpy_spider_plot.svg,56765,d89f921d185420bcd3086571ec2f05fab0246f1bc86289bdcb2b7647917df13a
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/stLearn_spider_plot.svg,56774,7a6a2ec5097c7bb92cced06d77647bd6a586e82e9fdfb336d7eeb5890a88dadf
Figure4,computational_figure4b_manual_figure4a_assembly,published,figures/Figure4/results/published/panels/stLearn_without_spotmixture_spider_plot.svg,56777,0863ed514c7703b2f94d944c96c884c34b462dfdf74eb175508ae70dc9aa4da4
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/processed_noise.used.csv,4388,5511e41149a4a7a92a3fa11972caaa158de7e64e3c03dd122aad9c0217ce34f2
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/Baseline_1_spider_plot.svg,56614,aa245cd504d8927064f054bc8fe04dbece946922c6e5f9d310f0161f79a5e1a3
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/Baseline_2_spider_plot.svg,56610,bbf1693d41fca54736425658ab81f30c04b44017ce9e45a25a747d15627ce007
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/CellAgentChat_spider_plot.svg,56789,96952629fe2b21804c255e1922b12ed4e33df487cbbb18664879693b3f6f59e9
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/COMMOT_spider_plot.svg,56781,3ab84b748df1ca99dc0b0879cb6fcd7ba6e0d464db1cf7cb8d3453ea8d2d29bd
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/Giotto_spider_plot.svg,56800,3703ddb5f3b74507c4d53788aaa2eb334805e174fe789014a40740ad371ee381
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/precision_recall_f1_legend.svg,3773,93763ed7eda7d6040a49b8af75f020ad7a0ef6ae4b90d3ebfdc458838aee6beb
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/SpaTalk_spider_plot.svg,56790,f1c6eda58eed8f2cdc9fda81ead17a91d781d400174c491e37e17b8e0d611698
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/SpatialDM_spider_plot.svg,56821,5e60e8bf31c5916eceb1f9822538155d12c5791199dcfaa1ed3c7efe0f5ce7e9
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/Squidpy_spider_plot.svg,56765,aefee3ffdd7776a109b74b506260d43c8244b19b0e72cbcc86d1cf4e2a1ff3bb
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/stLearn_spider_plot.svg,56774,ec40b02907a698826a3dae84d93b0a3d990959ac3b3064cbb1c03b7b74a760d6
Figure4,computational_figure4b_manual_figure4a_assembly,generated,figures/Figure4/results/generated/svg/stLearn_without_spotmixture_spider_plot.svg,56777,ef53d0fba021d8e0d53c1330ef2a5731fb85505439e73a64b41edd0ca09eb38a
Figure5,computational_figure5a_manual_figure5b_assembly,input,figures/Figure5/inputs/boundary_metrics_from_latest_results.csv,2211,96dd9de22876b6557af64b755861a9b4e4f5a09f6cd725073360ce14b688bac5
Figure5,computational_figure5a_manual_figure5b_assembly,input,figures/Figure5/inputs/boundary_metrics_recomputed.csv,685,ecaa8fed881b055ff1999a96c84d05f14d0854b6433c6e9aa40603d6f848ab82
Figure5,computational_figure5a_manual_figure5b_assembly,input,figures/Figure5/inputs/boundary_metrics_stlearn.csv,185,ec20655440d1655322668929e570f17c4f424c8f13d2239a1f3c99a1e9f809eb
Figure5,computational_figure5a_manual_figure5b_assembly,input,figures/Figure5/inputs/result_summary.csv,3596,10ecf0e8294f306698d7d7b7544a443c7d26f30bc46d7ac10ad074e2201941e2
Figure5,computational_figure5a_manual_figure5b_assembly,published,figures/Figure5/results/published/Figure5.svg,1482775,1c7e0bd4e910588d764801e263c19943c10cb4525c8be616bf8eb5e38f0d3cff
Figure5,computational_figure5a_manual_figure5b_assembly,published,figures/Figure5/results/published/panels/bar_noise_sum.svg,99481,bb7a75320e19fa1ced886831c5de6cc5c3e2955f66cde855e9b106e37e24c580
Figure5,computational_figure5a_manual_figure5b_assembly,published,figures/Figure5/results/published/panels/bar_summary.svg,98856,eb86c68af8a890eea4c44e785524cc48114005b692010695621b26dd3221c7d0
Figure5,computational_figure5a_manual_figure5b_assembly,published,figures/Figure5/results/published/panels/dot_sum.svg,81915,709edfaabcab2798fec5aa253037243555b347873d96f4506d97a9afff095290
Figure5,computational_figure5a_manual_figure5b_assembly,generated,figures/Figure5/results/generated/bar_noise_sum.svg,99481,1bd3ac124bee88bcc442bdc1cbba734e98919be50d9f950990260357dad8eb68
Figure5,computational_figure5a_manual_figure5b_assembly,generated,figures/Figure5/results/generated/bar_summary.svg,98856,c7615d34a5864ef61fb4f09026f2dde94b4a75048c79905e9ab4094c7360061a
Figure5,computational_figure5a_manual_figure5b_assembly,generated,figures/Figure5/results/generated/dot_sum.svg,81915,32edcb6aebc771c0e632fc95a9cfa773715a99e0c66f77d4f80f2c6cb3780088
FigureS1,manual_workflow_diagram,published,figures/FigureS1/results/published/FigureS1.svg,78451,290456eed2bd668ec08d6aaf169fe6c4390d1ddae603d1c27dc05faca6785124
FigureS2,notebook_helpers_partial,published,figures/FigureS2/results/published/FigureS2.svg,9271386,5edc1af8bfcaed06cfcf811025475ed7eb56f951ac87ae76bf7ed3edfca6a44d
FigureS3,precomputed_h5ad_redraw,input,figures/FigureS3/inputs/h5ad_panel_source_manifest.csv,5303,1a28b28c4468887debf786e07f0c0a75ac96c66c8756d6c696a33611ae89a9e4
FigureS3,precomputed_h5ad_redraw,input,figures/FigureS3/inputs/h5ad_panel_source_manifest.json,358,3d3f71ed9b464ef15fd8f8c4653f2f9abf3227eea2ba9dac8b4d1d33e39b89c7
FigureS3,precomputed_h5ad_redraw,published,figures/FigureS3/results/published/FigureS3.svg,60789294,d678309ebf19f1e225d4e5830573f79b90a8092caabcd5d7a9596676faf6acb8
FigureS3,precomputed_h5ad_redraw,generated,figures/FigureS3/results/generated/composites/DLPFC_SPP1_ITGB1_12_panels_3x4.svg,43127108,2af375ac562692c008ea56bad0a90c165ff222c302186db43ab892881f5fbf63
FigureS3,precomputed_h5ad_redraw,generated,figures/FigureS3/results/generated/composites/MF_Pnoc_Oprl1_12_panels_3x4.svg,46990778,20d9055ab0e56ce90106f493c18b8603a0ec906169eeb85a594fe4aaaf67d6af
FigureS3,precomputed_h5ad_redraw,generated,figures/FigureS3/results/generated/run_config.json,442,9ef845e8d824b5907df44014e82d764dfc12c66d39b35a76356f8969699b5e42
FigureS3,precomputed_h5ad_redraw,generated,figures/FigureS3/results/generated/tables/interaction_counts.csv,1271,bb8c290a637a3ad5b3ad96b275e04e9a95fa3e664403d31e25b1f9ead4d4e94a
FigureS3,precomputed_h5ad_redraw,generated,figures/FigureS3/results/generated/tables/panel_paths.csv,2835,44bf4e3a8c3e42948f0b3601c08ddcf954456b9555cc34af778a5a32f8b58556
FigureS4,notebook_only,published,figures/FigureS4/results/published/FigureS4.svg,5466795,24f0b394372a87de71305103f477b1b8c29970c08629ee54e0007b53d0032f43
FigureS5,precomputed_results_only_no_autocorrelation_recalculation,published,figures/FigureS5/results/published/FigureS5.svg,26226826,e2e60ed211ff233c386ff770f1f47936e0989d1849f4d6d374a479a84c4b5c76
FigureS6,notebook_helpers_partial,published,figures/FigureS6/results/published/FigureS6.svg,445756,4cea6fae5f8e65ab13f158452f4553c23c84cd54cf89b6ba1c22cbfbb57a7a3a
FigureS7,notebook_only,published,figures/FigureS7/results/published/FigureS7.svg,6147828,57c73588ed4eafcdc5b207b44632dd6bf15288a8b0d2dc1c3723eb07c3602985
FigureS8,notebook_only,published,figures/FigureS8/results/published/FigureS8.svg,14061670,e0719e8e80555d202585437081cd14479c05f7d05507b25ef1fa5ec52a020d33
FigureS9,manual_schematic,published,figures/FigureS9/results/published/FigureS9.svg,262242,538e5f642c44c1ff13150292e7b8d80e6108601830965455ee3ce20d17639018
