LR,gradient_count,edge_count,normal_count,weak_count
BMP8A_ACVR1,2331.0,675.0,1293.0,0.0
BMP8A_ACVR2A,2513.0,673.0,1154.0,0.0
BMP8A_ACVR2B,2672.0,499.0,628.0,0.0
BMP8A_BMPR2,1861.0,559.0,2186.0,0.0
BMP8A_BMPR1A,2423.0,700.0,1174.0,0.0
BMP8A_BMPR1B,1759.0,344.0,509.0,0.0
BMP8B_ACVR1,2306.0,559.0,1033.0,0.0
BMP8B_ACVR2A,2426.0,533.0,862.0,0.0
BMP8B_ACVR2B,2622.0,352.0,276.0,0.0
BMP8B_BMPR2,1883.0,426.0,2024.0,0.0
BMP8B_BMPR1A,2457.0,571.0,882.0,0.0
BMP8B_BMPR1B,1713.0,192.0,143.0,0.0
BMP10_BMPR2,306.0,272.0,1957.0,0.0
BMP10_ACVRL1,411.0,280.0,1855.0,0.0
BMP10_ACVR2A,1304.0,383.0,762.0,0.0
GDF9_BMPR2,801.0,310.0,2003.0,0.0
GDF9_ACVR1B,1469.0,409.0,1133.0,0.0
GDF10_ACVR1B,1798.0,447.0,1094.0,0.0
GDF10_ACVR2A,1944.0,445.0,809.0,0.0
GDF11_ACVR2A,2155.0,692.0,1400.0,0.0
GDF11_TGFBR1,1517.0,555.0,2324.0,0.0
GDF11_ACVR2B,2369.0,512.0,884.0,0.0
GDF11_ACVR1B,1913.0,675.0,1592.0,0.0
GDF15_TGFBR2,1982.0,452.0,1334.0,927.0
MSTN_ACVR2B,1615.0,173.0,142.0,0.0
MSTN_TGFBR1,316.0,227.0,1928.0,0.0
MSTN_ACVR1B,1020.0,362.0,1052.0,0.0
MSTN_ACVR2A,1271.0,365.0,762.0,0.0
AMH_ACVR1,1105.0,414.0,949.0,0.0
AMH_AMHR2,94.0,35.0,24.0,0.0
AMH_BMPR1A,1330.0,423.0,796.0,0.0
GDNF_GFRA1,734.0,317.0,1391.0,0.0
GDNF_RET,1141.0,114.0,95.0,0.0
NRTN_GFRA2,2747.0,409.0,304.0,0.0
NRTN_RET,2150.0,261.0,240.0,0.0
ARTN_GFRA3,454.0,56.0,8.0,0.0
ARTN_RET,1457.0,158.0,102.0,0.0
PSPN_RET,2432.0,414.0,308.0,0.0
ARTN_GFRA1,1125.0,364.0,1395.0,0.0
NODAL_ACVR1B,1020.0,364.0,1052.0,0.0
NODAL_ACVR2A,1271.0,368.0,762.0,0.0
NODAL_ACVR1C,1347.0,127.0,109.0,0.0
NODAL_ACVR2B,1615.0,178.0,142.0,0.0
GDF3_ACVR1B,1020.0,370.0,1052.0,0.0
GDF3_ACVR2A,1271.0,372.0,762.0,0.0
GDF3_ACVR2B,1615.0,184.0,142.0,0.0
GDF3_ACVR1C,1347.0,134.0,109.0,0.0
INHBA_ACVR1B,2621.0,500.0,1135.0,0.0
INHBA_ACVR2A,2646.0,502.0,844.0,0.0
INHBA_ACVR2B,2796.0,317.0,248.0,0.0
INHBB_ACVR1B,2408.0,664.0,1254.0,0.0
INHBB_ACVR2A,2483.0,674.0,982.0,0.0
INHBB_ACVR2B,2636.0,506.0,447.0,0.0
INHBB_ACVR1C,2495.0,459.0,418.0,0.0
INHBC_ACVR1B,1020.0,356.0,1052.0,0.0
INHBC_ACVR2A,1271.0,360.0,762.0,0.0
INHBC_ACVR2B,1615.0,170.0,142.0,0.0
INHBC_ACVR1C,1347.0,120.0,109.0,0.0
INHBE_ACVR1B,1020.0,357.0,1052.0,0.0
INHBE_ACVR2A,1271.0,362.0,762.0,0.0
INHBE_ACVR2B,1615.0,172.0,142.0,0.0
INHBE_ACVR1C,1347.0,122.0,109.0,0.0
INHBA_ACVR1C,2618.0,269.0,211.0,0.0
INHA_ACVR2A,1297.0,378.0,762.0,0.0
INHA_ACVR2B,1629.0,188.0,142.0,0.0
WNT1_FZD1,1846.0,301.0,249.0,0.0
WNT1_LRP5,1675.0,388.0,490.0,0.0
WNT1_FZD10,1377.0,157.0,133.0,0.0
WNT1_FZD2,1892.0,277.0,344.0,0.0
WNT1_FZD3,1609.0,385.0,480.0,0.0
WNT1_FZD4,1141.0,399.0,950.0,0.0
WNT1_FZD5,1635.0,193.0,151.0,0.0
WNT1_FZD6,1711.0,380.0,376.0,0.0
WNT1_FZD7,1765.0,345.0,329.0,0.0
WNT1_FZD8,1663.0,419.0,466.0,0.0
WNT1_FZD9,71.0,50.0,28.0,0.0
WNT10A_FZD1,2574.0,624.0,679.0,0.0
WNT10A_LRP5,2480.0,683.0,874.0,0.0
WNT10A_FZD10,2280.0,492.0,580.0,0.0
WNT10A_FZD2,2539.0,600.0,753.0,0.0
WNT10A_FZD3,2343.0,700.0,879.0,0.0
WNT10A_FZD4,2067.0,706.0,1309.0,0.0
WNT10A_FZD5,2407.0,525.0,579.0,0.0
WNT10A_FZD6,2527.0,703.0,785.0,0.0
WNT10A_FZD7,2603.0,669.0,758.0,0.0
WNT10A_FZD8,2611.0,747.0,872.0,0.0
WNT10A_FZD9,1442.0,396.0,494.0,0.0
WNT10B_FZD1,2829.0,549.0,468.0,0.0
WNT10B_LRP5,2551.0,625.0,685.0,0.0
WNT10B_FZD10,2420.0,416.0,373.0,0.0
WNT10B_FZD2,2730.0,522.0,553.0,0.0
WNT10B_FZD3,2596.0,628.0,687.0,0.0
WNT10B_FZD4,2252.0,654.0,1137.0,0.0
WNT10B_FZD5,2615.0,457.0,383.0,0.0
WNT10B_FZD6,2569.0,625.0,605.0,0.0
WNT10B_FZD7,2748.0,595.0,550.0,0.0
WNT10B_FZD8,2741.0,663.0,670.0,0.0
WNT10B_FZD9,1658.0,319.0,277.0,0.0
WNT16_FZD1,2083.0,319.0,283.0,0.0
WNT16_LRP5,1969.0,416.0,505.0,0.0
WNT16_FZD10,1710.0,183.0,168.0,0.0
WNT16_FZD2,2125.0,298.0,368.0,0.0
WNT16_FZD3,1920.0,412.0,512.0,0.0
WNT16_FZD4,1471.0,425.0,983.0,0.0
WNT16_FZD5,1900.0,220.0,183.0,0.0
WNT16_FZD6,1981.0,404.0,407.0,0.0
WNT16_FZD7,2002.0,366.0,367.0,0.0
WNT16_FZD8,1980.0,442.0,494.0,0.0
WNT16_FZD9,543.0,74.0,63.0,0.0
WNT2_FZD1,1813.0,270.0,224.0,0.0
WNT2_LRP5,1632.0,365.0,465.0,0.0
WNT2_FZD10,1334.0,129.0,107.0,0.0
WNT2_FZD2,1850.0,247.0,322.0,0.0
WNT2_FZD3,1566.0,358.0,457.0,0.0
WNT2_FZD4,1091.0,371.0,932.0,0.0
WNT2_FZD5,1595.0,165.0,125.0,0.0
WNT2_FZD6,1676.0,355.0,354.0,0.0
WNT2_FZD7,1727.0,316.0,307.0,0.0
WNT2_FZD8,1626.0,390.0,439.0,0.0
WNT2_FZD9,1.0,20.0,0.0,0.0
WNT2B_FZD1,2623.0,386.0,324.0,0.0
WNT2B_LRP5,2542.0,487.0,551.0,0.0
WNT2B_FZD10,2343.0,257.0,211.0,0.0
WNT2B_FZD2,2684.0,372.0,417.0,0.0
WNT2B_FZD3,2567.0,474.0,542.0,0.0
WNT2B_FZD4,2246.0,493.0,1015.0,0.0
WNT2B_FZD5,2516.0,290.0,227.0,0.0
WNT2B_FZD6,2597.0,473.0,452.0,0.0
WNT2B_FZD7,2638.0,436.0,406.0,0.0
WNT2B_FZD8,2521.0,514.0,535.0,0.0
WNT2B_FZD9,1527.0,151.0,109.0,0.0
WNT3_FZD1,2711.0,457.0,414.0,0.0
WNT3_LRP5,2659.0,544.0,636.0,0.0
WNT3_FZD10,2572.0,322.0,306.0,0.0
WNT3_FZD2,2767.0,437.0,491.0,0.0
WNT3_FZD3,2762.0,546.0,635.0,0.0
WNT3_FZD4,2405.0,558.0,1068.0,0.0
WNT3_FZD5,2707.0,362.0,321.0,0.0
WNT3_FZD6,2707.0,539.0,536.0,0.0
WNT3_FZD7,2706.0,499.0,466.0,0.0
WNT3_FZD8,2739.0,575.0,618.0,0.0
WNT3_FZD9,1852.0,220.0,205.0,0.0
WNT4_FZD1,1866.0,296.0,224.0,0.0
WNT4_LRP5,1696.0,390.0,465.0,0.0
WNT4_FZD10,1402.0,158.0,107.0,0.0
WNT4_FZD2,1909.0,273.0,322.0,0.0
WNT4_FZD3,1626.0,384.0,457.0,0.0
WNT4_FZD4,1164.0,398.0,932.0,0.0
WNT4_FZD5,1665.0,192.0,125.0,0.0
WNT4_FZD6,1742.0,380.0,354.0,0.0
WNT4_FZD7,1782.0,346.0,307.0,0.0
WNT4_FZD8,1697.0,413.0,439.0,0.0
WNT4_FZD9,106.0,49.0,0.0,0.0
WNT6_FZD1,2715.0,401.0,312.0,0.0
WNT6_LRP5,2579.0,487.0,541.0,0.0
WNT6_FZD10,2401.0,263.0,204.0,0.0
WNT6_FZD2,2651.0,375.0,406.0,0.0
WNT6_FZD3,2526.0,481.0,530.0,0.0
WNT6_FZD4,2276.0,497.0,1003.0,0.0
WNT6_FZD5,2508.0,299.0,218.0,0.0
WNT6_FZD6,2654.0,479.0,443.0,0.0
WNT6_FZD7,2712.0,441.0,395.0,0.0
WNT6_FZD8,2577.0,513.0,524.0,0.0
WNT6_FZD9,1624.0,157.0,98.0,0.0
WNT7A_FZD1,2124.0,326.0,317.0,0.0
WNT7A_LRP5,1961.0,417.0,558.0,0.0
WNT7A_FZD10,1722.0,181.0,207.0,0.0
WNT7A_FZD2,2136.0,300.0,416.0,0.0
WNT7A_FZD3,1889.0,411.0,538.0,0.0
WNT7A_FZD4,1515.0,425.0,1008.0,0.0
WNT7A_FZD5,1955.0,216.0,218.0,0.0
WNT7A_FZD6,2006.0,410.0,434.0,0.0
WNT7A_FZD7,2056.0,369.0,395.0,0.0
WNT7A_FZD8,2002.0,446.0,532.0,0.0
WNT7A_FZD9,594.0,77.0,101.0,0.0
WNT9A_FZD1,1860.0,294.0,232.0,0.0
WNT9A_LRP5,1695.0,391.0,472.0,0.0
WNT9A_FZD10,1396.0,156.0,115.0,0.0
WNT9A_FZD2,1904.0,274.0,330.0,0.0
WNT9A_FZD3,1636.0,385.0,464.0,0.0
WNT9A_FZD4,1159.0,398.0,938.0,0.0
WNT9A_FZD5,1655.0,192.0,133.0,0.0
WNT9A_FZD6,1736.0,381.0,361.0,0.0
WNT9A_FZD7,1789.0,344.0,313.0,0.0
WNT9A_FZD8,1682.0,417.0,447.0,0.0
WNT9A_FZD9,105.0,48.0,8.0,0.0
WNT9B_FZD1,1813.0,270.0,224.0,0.0
WNT9B_LRP5,1632.0,364.0,465.0,0.0
WNT9B_FZD10,1334.0,128.0,107.0,0.0
WNT9B_FZD2,1850.0,247.0,322.0,0.0
WNT9B_FZD3,1566.0,357.0,457.0,0.0
WNT9B_FZD4,1091.0,372.0,932.0,0.0
WNT9B_FZD5,1595.0,164.0,125.0,0.0
WNT9B_FZD6,1676.0,354.0,354.0,0.0
WNT9B_FZD7,1727.0,316.0,307.0,0.0
WNT9B_FZD8,1626.0,391.0,439.0,0.0
WNT9B_FZD9,1.0,19.0,0.0,0.0
WNT1_LRP6,1622.0,392.0,418.0,0.0
WNT10A_LRP6,2481.0,700.0,791.0,0.0
WNT10B_LRP6,2689.0,641.0,622.0,0.0
WNT16_LRP6,1908.0,415.0,440.0,0.0
WNT2_LRP6,1579.0,365.0,393.0,0.0
WNT2B_LRP6,2502.0,482.0,485.0,0.0
WNT3_LRP6,2679.0,553.0,566.0,0.0
WNT4_LRP6,1644.0,394.0,393.0,0.0
WNT6_LRP6,2578.0,496.0,472.0,0.0
WNT7A_LRP6,1937.0,416.0,484.0,0.0
WNT9A_LRP6,1643.0,392.0,400.0,0.0
WNT9B_LRP6,1579.0,365.0,393.0,0.0
WNT5A_FZD1,2629.0,647.0,620.0,0.0
WNT5A_FZD10,2364.0,522.0,523.0,0.0
WNT5A_FZD2,2685.0,631.0,699.0,0.0
WNT5A_FZD3,2505.0,732.0,830.0,0.0
WNT5A_FZD4,2119.0,747.0,1239.0,0.0
WNT5A_FZD5,2445.0,556.0,535.0,0.0
WNT5A_FZD6,2538.0,726.0,731.0,0.0
WNT5A_FZD7,2566.0,688.0,680.0,0.0
WNT5A_FZD8,2486.0,749.0,812.0,0.0
WNT5A_FZD9,1481.0,426.0,425.0,0.0
WNT5A_MCAM,1712.0,623.0,2054.0,0.0
WNT5B_FZD1,2449.0,634.0,1004.0,0.0
WNT5B_FZD10,2131.0,509.0,910.0,0.0
WNT5B_FZD2,2499.0,612.0,1057.0,0.0
WNT5B_FZD3,2229.0,711.0,1184.0,0.0
WNT5B_FZD4,1832.0,715.0,1569.0,0.0
WNT5B_FZD5,2273.0,532.0,915.0,0.0
WNT5B_FZD6,2326.0,701.0,1110.0,0.0
WNT5B_FZD7,2296.0,672.0,1070.0,0.0
WNT5B_FZD8,2267.0,752.0,1162.0,0.0
WNT5B_FZD9,1143.0,404.0,827.0,0.0
WNT11_FZD1,1839.0,289.0,224.0,0.0
WNT11_FZD10,1371.0,148.0,107.0,0.0
WNT11_FZD2,1880.0,264.0,322.0,0.0
WNT11_FZD3,1603.0,373.0,457.0,0.0
WNT11_FZD4,1123.0,391.0,932.0,0.0
WNT11_FZD5,1626.0,183.0,125.0,0.0
WNT11_FZD6,1703.0,372.0,354.0,0.0
WNT11_FZD7,1752.0,336.0,307.0,0.0
WNT11_FZD8,1661.0,410.0,439.0,0.0
WNT11_FZD9,52.0,39.0,0.0,0.0
EGF_EGFR,1410.0,408.0,508.0,0.0
EGF_ERBB2,1408.0,384.0,548.0,0.0
TGFA_EGFR,2421.0,711.0,808.0,0.0
TGFA_ERBB2,2489.0,687.0,830.0,0.0
AREG_EGFR,2044.0,663.0,1643.0,0.0
AREG_ERBB2,1986.0,631.0,1656.0,0.0
BTC_EGFR,1410.0,411.0,508.0,0.0
BTC_ERBB2,1408.0,385.0,548.0,0.0
BTC_ERBB4,0.0,15.0,0.0,0.0
HBEGF_EGFR,1808.0,638.0,1972.0,0.0
HBEGF_ERBB2,1789.0,621.0,1954.0,0.0
HBEGF_ERBB4,601.0,274.0,1663.0,0.0
EREG_EGFR,1981.0,479.0,589.0,0.0
EREG_ERBB2,1944.0,448.0,611.0,0.0
EREG_ERBB4,800.0,91.0,92.0,0.0
NRG1_ERBB3,1856.0,287.0,239.0,0.0
NRG1_ERBB2,2518.0,607.0,745.0,0.0
NRG1_ERBB4,1831.0,266.0,231.0,0.0
NRG2_ERBB3,1840.0,317.0,260.0,0.0
NRG2_ERBB2,2557.0,631.0,735.0,0.0
NRG2_ERBB4,1811.0,298.0,252.0,0.0
NRG3_ERBB4,0.0,13.0,0.0,0.0
NRG3_ERBB2,1408.0,386.0,548.0,0.0
NRG4_ERBB4,30.0,28.0,0.0,0.0
NRG4_ERBB2,1433.0,398.0,548.0,0.0
NRG1_ITGAV,2094.0,435.0,1937.0,0.0
NRG1_ITGB3,1831.0,269.0,231.0,0.0
FGF1_FGFR1,583.0,262.0,1955.0,0.0
FGF1_FGFR2,1978.0,198.0,133.0,0.0
FGF1_FGFR3,1983.0,244.0,202.0,0.0
FGF1_FGFR4,1785.0,211.0,110.0,0.0
FGF2_FGFR1,1872.0,519.0,2095.0,0.0
FGF2_FGFR2,2744.0,448.0,402.0,0.0
FGF2_FGFR3,2713.0,487.0,470.0,0.0
FGF2_FGFR4,2600.0,461.0,374.0,0.0
FGF7_FGFR1,1433.0,531.0,2437.0,0.0
FGF7_FGFR2,2652.0,474.0,1020.0,0.0
FGF10_FGFR1,406.0,254.0,1959.0,0.0
FGF10_FGFR2,1873.0,187.0,145.0,0.0
FGF22_FGFR2,1868.0,180.0,128.0,0.0
FGF8_FGFR1,291.0,225.0,1951.0,0.0
FGF8_FGFR2,1828.0,155.0,124.0,0.0
FGF8_FGFR3,1797.0,203.0,191.0,0.0
FGF8_FGFR4,1602.0,168.0,102.0,0.0
FGF17_FGFR1,298.0,242.0,1951.0,0.0
FGF17_FGFR2,1835.0,172.0,124.0,0.0
FGF17_FGFR3,1801.0,220.0,191.0,0.0
FGF17_FGFR4,1607.0,184.0,102.0,0.0
FGF18_FGFR1,848.0,285.0,1988.0,0.0
FGF18_FGFR2,2141.0,213.0,189.0,0.0
FGF18_FGFR3,2118.0,262.0,250.0,0.0
FGF18_FGFR4,1951.0,229.0,170.0,0.0
FGF9_FGFR1,646.0,271.0,1962.0,0.0
FGF9_FGFR2,2002.0,196.0,139.0,0.0
FGF9_FGFR3,1968.0,248.0,205.0,0.0
FGF9_FGFR4,1806.0,210.0,117.0,0.0
FGF20_FGFR1,319.0,245.0,1951.0,0.0
FGF20_FGFR2,1842.0,176.0,124.0,0.0
FGF20_FGFR3,1810.0,222.0,191.0,0.0
FGF20_FGFR4,1615.0,189.0,102.0,0.0
FGF23_FGFR1,2066.0,399.0,2022.0,0.0
FGF23_FGFR3,2739.0,382.0,323.0,0.0
FGF23_FGFR4,2747.0,354.0,236.0,0.0
PDGFA_PDGFRA,2590.0,684.0,691.0,0.0
PDGFA_PDGFRB,2030.0,478.0,1941.0,0.0
PDGFB_PDGFRA,2629.0,685.0,683.0,0.0
PDGFB_PDGFRB,1966.0,472.0,1920.0,0.0
PDGFC_PDGFRA,2644.0,693.0,744.0,0.0
PDGFD_PDGFRB,2077.0,514.0,1941.0,0.0
VEGFA_FLT1,1259.0,450.0,2499.0,0.0
VEGFA_KDR,1413.0,472.0,2422.0,0.0
VEGFB_FLT1,1431.0,753.0,1991.0,687.0
VEGFC_FLT4,1717.0,653.0,1779.0,0.0
VEGFC_KDR,1867.0,688.0,1593.0,0.0
VEGFD_FLT4,936.0,323.0,1298.0,0.0
VEGFD_KDR,1064.0,343.0,1067.0,0.0
PGF_FLT1,1341.0,541.0,2276.0,0.0
IGF1_IGF1R,1912.0,531.0,2146.0,0.0
IGF1_ITGAV,1666.0,471.0,2308.0,0.0
IGF1_ITGB3,1405.0,314.0,893.0,0.0
IGF1_ITGA6,1724.0,506.0,2299.0,0.0
IGF1_ITGB4,2234.0,608.0,1536.0,0.0
APLN_APLNR,737.0,188.0,1710.0,0.0
DHH_PTCH1,1125.0,381.0,1092.0,0.0
DHH_SMO,1773.0,336.0,324.0,0.0
IHH_PTCH1,967.0,347.0,1087.0,0.0
IHH_SMO,1633.0,304.0,315.0,0.0
SHH_PTCH1,967.0,345.0,1087.0,0.0
SHH_SMO,1633.0,302.0,315.0,0.0
DHH_PTCH2,1540.0,397.0,659.0,0.0
IHH_PTCH2,1380.0,368.0,650.0,0.0
SHH_PTCH2,1380.0,365.0,650.0,0.0
CCL5_CCR1,2169.0,681.0,1550.0,601.0
CCL3_CCR1,2117.0,607.0,1666.0,0.0
CCL3L1_CCR1,1894.0,559.0,2046.0,0.0
CCL8_CCR1,2296.0,612.0,1248.0,0.0
CCL7_CCR1,1686.0,356.0,401.0,0.0
CCL13_CCR1,2675.0,469.0,503.0,0.0
CCL14_CCR1,2243.0,481.0,1766.0,0.0
CCL15_CCR1,1686.0,348.0,401.0,0.0
CCL16_CCR1,1764.0,374.0,410.0,0.0
CCL23_CCR1,2596.0,450.0,448.0,0.0
CCL8_CCR2,1798.0,586.0,1688.0,0.0
CCL7_CCR2,1233.0,331.0,1039.0,0.0
CCL2_CCR2,2625.0,514.0,1738.0,360.0
CCL27_CCR2,1250.0,336.0,1039.0,0.0
CCL5_CCR3,900.0,388.0,1295.0,1485.0
CCL7_CCR3,49.0,40.0,5.0,0.0
CCL11_CCR3,263.0,67.0,11.0,0.0
CCL24_CCR3,49.0,26.0,5.0,0.0
CCL26_CCR3,53.0,38.0,5.0,0.0
CCL28_CCR3,1506.0,412.0,541.0,0.0
CCL27_CCR3,76.0,45.0,5.0,0.0
CCL17_CCR4,2394.0,360.0,458.0,0.0
CCL22_CCR4,1302.0,295.0,1569.0,0.0
CCL5_CCR4,1342.0,425.0,1326.0,1249.0
CCL4_CCR5,1536.0,576.0,2307.0,0.0
CCL5_CCR5,1870.0,739.0,1761.0,603.0
CCL3_CCR5,1832.0,670.0,1875.0,0.0
CCL20_CCR6,1683.0,392.0,2431.0,0.0
CCL19_CCR7,0.0,0.0,0.0,429.0
CCL21_CCR7,0.0,0.0,0.0,327.0
CCL19_ACKR4,2463.0,311.0,1214.0,666.0
CCL21_ACKR4,3009.0,219.0,836.0,449.0
CCL1_CCR8,0.0,15.0,0.0,0.0
CCL25_CCR9,1712.0,178.0,129.0,0.0
CCL25_ACKR4,1808.0,197.0,136.0,0.0
CCL28_CCR10,2461.0,691.0,810.0,0.0
CCL27_CCR10,1635.0,344.0,359.0,0.0
CCL1_ACKR4,1516.0,151.0,100.0,0.0
CCL13_ACKR4,2553.0,283.0,222.0,0.0
CCL8_ACKR4,2396.0,441.0,1038.0,0.0
CCL1_ACKR1,770.0,257.0,1535.0,1482.0
CCL2_ACKR1,0.0,0.0,0.0,430.0
CCL5_ACKR1,0.0,0.0,0.0,566.0
CCL8_ACKR1,1768.0,529.0,2116.0,562.0
CCL13_ACKR1,2151.0,379.0,1597.0,768.0
CCL14_ACKR1,1518.0,362.0,2420.0,533.0
CCL16_ACKR1,869.0,276.0,1541.0,1417.0
CCL18_ACKR1,1283.0,438.0,2561.0,576.0
CXCL1_ACKR1,1198.0,478.0,2623.0,556.0
CXCL2_ACKR1,1357.0,499.0,2511.0,541.0
CXCL3_ACKR1,2315.0,561.0,1654.0,583.0
CXCL5_ACKR1,2248.0,506.0,1937.0,466.0
CXCL6_ACKR1,1503.0,322.0,1586.0,1102.0
CXCL8_ACKR1,1955.0,360.0,1589.0,870.0
CXCL9_ACKR1,1402.0,404.0,2577.0,497.0
CXCL10_ACKR1,2105.0,460.0,2037.0,468.0
CXCL11_ACKR1,2511.0,395.0,1564.0,622.0
CXCL13_ACKR1,0.0,0.0,0.0,321.0
CCL2_ACKR2,2261.0,275.0,934.0,818.0
CCL3_ACKR2,1516.0,355.0,1436.0,0.0
CCL3L1_ACKR2,1171.0,303.0,1845.0,0.0
CCL4_ACKR2,1110.0,257.0,1932.0,0.0
CCL5_ACKR2,1496.0,428.0,1303.0,1173.0
CCL7_ACKR2,838.0,85.0,19.0,0.0
CCL8_ACKR2,1885.0,373.0,971.0,0.0
CCL7_ACKR1,770.0,261.0,1535.0,1481.0
CCL11_ACKR1,944.0,285.0,1540.0,1383.0
CCL11_ACKR2,997.0,111.0,25.0,0.0
CCL13_ACKR2,2189.0,213.0,144.0,0.0
CCL22_ACKR2,1438.0,305.0,1542.0,0.0
CCL24_ACKR2,838.0,71.0,19.0,0.0
CCL26_ACKR2,838.0,81.0,19.0,0.0
CCL17_ACKR1,2508.0,537.0,1784.0,465.0
CCL14_ACKR2,1641.0,224.0,1559.0,0.0
CCL17_ACKR2,2526.0,371.0,424.0,0.0
CXCL1_CXCR1,570.0,273.0,1767.0,0.0
CXCL2_CXCR1,783.0,306.0,1529.0,0.0
CXCL3_CXCR1,1919.0,344.0,215.0,0.0
CXCL5_CXCR1,1824.0,306.0,640.0,0.0
CXCL6_CXCR1,918.0,98.0,87.0,0.0
CXCL1_CXCR2,580.0,274.0,1767.0,0.0
CXCL2_CXCR2,793.0,309.0,1529.0,0.0
CXCL3_CXCR2,1925.0,349.0,215.0,0.0
CXCL5_CXCR2,1826.0,308.0,640.0,0.0
CXCL6_CXCR2,929.0,100.0,87.0,0.0
CXCL8_CXCR2,1469.0,140.0,92.0,0.0
PF4V1_CXCR3,630.0,320.0,1515.0,0.0
CXCL9_CXCR3,1274.0,455.0,2564.0,0.0
CXCL10_CXCR3,2050.0,526.0,2023.0,0.0
CXCL11_CXCR3,2502.0,454.0,1559.0,0.0
CXCL13_CXCR3,2252.0,427.0,2185.0,354.0
PF4_CXCR3,1766.0,423.0,1575.0,0.0
CXCL12_CXCR4,0.0,0.0,0.0,396.0
CXCL11_ACKR3,2544.0,394.0,1601.0,0.0
CXCL12_ACKR3,2036.0,438.0,2181.0,414.0
CXCL13_CXCR5,2241.0,279.0,2297.0,357.0
CXCL16_CXCR6,1449.0,622.0,2210.0,0.0
MIF_CD74,0.0,0.0,0.0,356.0
MIF_CXCR4,0.0,0.0,0.0,566.0
MIF_CD44,0.0,0.0,0.0,569.0
MIF_CXCR2,1247.0,221.0,999.0,1583.0
MIF_ACKR3,1694.0,437.0,2152.0,595.0
CX3CL1_CX3CR1,2179.0,491.0,951.0,0.0
XCL1_XCR1,2355.0,538.0,657.0,0.0
XCL2_XCR1,2601.0,575.0,674.0,0.0
