,ligand,receptor,annotation,LR
71,BMP8B,BMPR1B,Secreted Signaling,BMP8B_BMPR1B
72,BMP10,BMPR2,Secreted Signaling,BMP10_BMPR2
73,BMP10,ACVRL1,Secreted Signaling,BMP10_ACVRL1
74,BMP10,ACVR2A,Secreted Signaling,BMP10_ACVR2A
75,GDF2,BMPR2,Secreted Signaling,GDF2_BMPR2
76,GDF2,ACVRL1,Secreted Signaling,GDF2_ACVRL1
77,GDF2,ACVR2A,Secreted Signaling,GDF2_ACVR2A
78,GDF9,BMPR2,Secreted Signaling,GDF9_BMPR2
79,GDF9,ACVR1B,Secreted Signaling,GDF9_ACVR1B
80,GDF10,ACVR1B,Secreted Signaling,GDF10_ACVR1B
81,GDF10,ACVR2A,Secreted Signaling,GDF10_ACVR2A
82,GDF11,ACVR2A,Secreted Signaling,GDF11_ACVR2A
83,GDF11,TGFBR1,Secreted Signaling,GDF11_TGFBR1
84,GDF11,ACVR2B,Secreted Signaling,GDF11_ACVR2B
85,GDF11,ACVR1B,Secreted Signaling,GDF11_ACVR1B
86,GDF15,TGFBR2,Secreted Signaling,GDF15_TGFBR2
87,MSTN,ACVR2B,Secreted Signaling,MSTN_ACVR2B
88,MSTN,TGFBR1,Secreted Signaling,MSTN_TGFBR1
89,MSTN,ACVR1B,Secreted Signaling,MSTN_ACVR1B
90,MSTN,ACVR2A,Secreted Signaling,MSTN_ACVR2A
91,AMH,ACVR1,Secreted Signaling,AMH_ACVR1
92,AMH,AMHR2,Secreted Signaling,AMH_AMHR2
93,AMH,BMPR1A,Secreted Signaling,AMH_BMPR1A
94,GDNF,GFRA1,Secreted Signaling,GDNF_GFRA1
95,GDNF,RET,Secreted Signaling,GDNF_RET
96,NRTN,GFRA2,Secreted Signaling,NRTN_GFRA2
97,NRTN,RET,Secreted Signaling,NRTN_RET
98,ARTN,GFRA3,Secreted Signaling,ARTN_GFRA3
99,ARTN,RET,Secreted Signaling,ARTN_RET
100,PSPN,GFRA4,Secreted Signaling,PSPN_GFRA4
101,PSPN,RET,Secreted Signaling,PSPN_RET
102,ARTN,GFRA1,Secreted Signaling,ARTN_GFRA1
103,NODAL,ACVR1B,Secreted Signaling,NODAL_ACVR1B
104,NODAL,ACVR2A,Secreted Signaling,NODAL_ACVR2A
105,NODAL,CFC1,Secreted Signaling,NODAL_CFC1
106,NODAL,ACVR1C,Secreted Signaling,NODAL_ACVR1C
107,NODAL,ACVR2B,Secreted Signaling,NODAL_ACVR2B
108,GDF1,ACVR1B,Secreted Signaling,GDF1_ACVR1B
109,GDF1,ACVR2A,Secreted Signaling,GDF1_ACVR2A
110,GDF1,CFC1,Secreted Signaling,GDF1_CFC1
111,GDF1,ACVR2B,Secreted Signaling,GDF1_ACVR2B
112,GDF1,ACVR1C,Secreted Signaling,GDF1_ACVR1C
113,GDF3,ACVR1B,Secreted Signaling,GDF3_ACVR1B
114,GDF3,ACVR2A,Secreted Signaling,GDF3_ACVR2A
115,GDF3,CFC1,Secreted Signaling,GDF3_CFC1
116,GDF3,ACVR2B,Secreted Signaling,GDF3_ACVR2B
117,GDF3,ACVR1C,Secreted Signaling,GDF3_ACVR1C
118,INHBA,ACVR1B,Secreted Signaling,INHBA_ACVR1B
119,INHBA,ACVR2A,Secreted Signaling,INHBA_ACVR2A
120,INHBA,ACVR2B,Secreted Signaling,INHBA_ACVR2B
121,INHBB,ACVR1B,Secreted Signaling,INHBB_ACVR1B
122,INHBB,ACVR2A,Secreted Signaling,INHBB_ACVR2A
123,INHBB,ACVR2B,Secreted Signaling,INHBB_ACVR2B
124,INHBB,ACVR1C,Secreted Signaling,INHBB_ACVR1C
125,INHBC,ACVR1B,Secreted Signaling,INHBC_ACVR1B
126,INHBC,ACVR2A,Secreted Signaling,INHBC_ACVR2A
127,INHBC,ACVR2B,Secreted Signaling,INHBC_ACVR2B
128,INHBC,ACVR1C,Secreted Signaling,INHBC_ACVR1C
129,INHBE,ACVR1B,Secreted Signaling,INHBE_ACVR1B
130,INHBE,ACVR2A,Secreted Signaling,INHBE_ACVR2A
131,INHBE,ACVR2B,Secreted Signaling,INHBE_ACVR2B
132,INHBE,ACVR1C,Secreted Signaling,INHBE_ACVR1C
133,INHBA,ACVR1C,Secreted Signaling,INHBA_ACVR1C
134,INHA,ACVR2A,Secreted Signaling,INHA_ACVR2A
135,INHA,ACVR2B,Secreted Signaling,INHA_ACVR2B
136,WNT1,FZD1,Secreted Signaling,WNT1_FZD1
137,WNT1,LRP5,Secreted Signaling,WNT1_LRP5
138,WNT1,FZD10,Secreted Signaling,WNT1_FZD10
139,WNT1,FZD2,Secreted Signaling,WNT1_FZD2
140,WNT1,FZD3,Secreted Signaling,WNT1_FZD3
141,WNT1,FZD4,Secreted Signaling,WNT1_FZD4
142,WNT1,FZD5,Secreted Signaling,WNT1_FZD5
143,WNT1,FZD6,Secreted Signaling,WNT1_FZD6
144,WNT1,FZD7,Secreted Signaling,WNT1_FZD7
145,WNT1,FZD8,Secreted Signaling,WNT1_FZD8
146,WNT1,FZD9,Secreted Signaling,WNT1_FZD9
147,WNT10A,FZD1,Secreted Signaling,WNT10A_FZD1
148,WNT10A,LRP5,Secreted Signaling,WNT10A_LRP5
149,WNT10A,FZD10,Secreted Signaling,WNT10A_FZD10
150,WNT10A,FZD2,Secreted Signaling,WNT10A_FZD2
151,WNT10A,FZD3,Secreted Signaling,WNT10A_FZD3
152,WNT10A,FZD4,Secreted Signaling,WNT10A_FZD4
153,WNT10A,FZD5,Secreted Signaling,WNT10A_FZD5
154,WNT10A,FZD6,Secreted Signaling,WNT10A_FZD6
155,WNT10A,FZD7,Secreted Signaling,WNT10A_FZD7
156,WNT10A,FZD8,Secreted Signaling,WNT10A_FZD8
157,WNT10A,FZD9,Secreted Signaling,WNT10A_FZD9
158,WNT10B,FZD1,Secreted Signaling,WNT10B_FZD1
159,WNT10B,LRP5,Secreted Signaling,WNT10B_LRP5
160,WNT10B,FZD10,Secreted Signaling,WNT10B_FZD10
161,WNT10B,FZD2,Secreted Signaling,WNT10B_FZD2
162,WNT10B,FZD3,Secreted Signaling,WNT10B_FZD3
163,WNT10B,FZD4,Secreted Signaling,WNT10B_FZD4
164,WNT10B,FZD5,Secreted Signaling,WNT10B_FZD5
165,WNT10B,FZD6,Secreted Signaling,WNT10B_FZD6
166,WNT10B,FZD7,Secreted Signaling,WNT10B_FZD7
167,WNT10B,FZD8,Secreted Signaling,WNT10B_FZD8
168,WNT10B,FZD9,Secreted Signaling,WNT10B_FZD9
169,WNT16,FZD1,Secreted Signaling,WNT16_FZD1
170,WNT16,LRP5,Secreted Signaling,WNT16_LRP5
171,WNT16,FZD10,Secreted Signaling,WNT16_FZD10
172,WNT16,FZD2,Secreted Signaling,WNT16_FZD2
173,WNT16,FZD3,Secreted Signaling,WNT16_FZD3
174,WNT16,FZD4,Secreted Signaling,WNT16_FZD4
175,WNT16,FZD5,Secreted Signaling,WNT16_FZD5
176,WNT16,FZD6,Secreted Signaling,WNT16_FZD6
177,WNT16,FZD7,Secreted Signaling,WNT16_FZD7
178,WNT16,FZD8,Secreted Signaling,WNT16_FZD8
179,WNT16,FZD9,Secreted Signaling,WNT16_FZD9
180,WNT2,FZD1,Secreted Signaling,WNT2_FZD1
181,WNT2,LRP5,Secreted Signaling,WNT2_LRP5
182,WNT2,FZD10,Secreted Signaling,WNT2_FZD10
183,WNT2,FZD2,Secreted Signaling,WNT2_FZD2
184,WNT2,FZD3,Secreted Signaling,WNT2_FZD3
185,WNT2,FZD4,Secreted Signaling,WNT2_FZD4
186,WNT2,FZD5,Secreted Signaling,WNT2_FZD5
187,WNT2,FZD6,Secreted Signaling,WNT2_FZD6
188,WNT2,FZD7,Secreted Signaling,WNT2_FZD7
189,WNT2,FZD8,Secreted Signaling,WNT2_FZD8
190,WNT2,FZD9,Secreted Signaling,WNT2_FZD9
191,WNT2B,FZD1,Secreted Signaling,WNT2B_FZD1
192,WNT2B,LRP5,Secreted Signaling,WNT2B_LRP5
193,WNT2B,FZD10,Secreted Signaling,WNT2B_FZD10
194,WNT2B,FZD2,Secreted Signaling,WNT2B_FZD2
195,WNT2B,FZD3,Secreted Signaling,WNT2B_FZD3
196,WNT2B,FZD4,Secreted Signaling,WNT2B_FZD4
197,WNT2B,FZD5,Secreted Signaling,WNT2B_FZD5
198,WNT2B,FZD6,Secreted Signaling,WNT2B_FZD6
199,WNT2B,FZD7,Secreted Signaling,WNT2B_FZD7
200,WNT2B,FZD8,Secreted Signaling,WNT2B_FZD8
201,WNT2B,FZD9,Secreted Signaling,WNT2B_FZD9
202,WNT3,FZD1,Secreted Signaling,WNT3_FZD1
203,WNT3,LRP5,Secreted Signaling,WNT3_LRP5
204,WNT3,FZD10,Secreted Signaling,WNT3_FZD10
205,WNT3,FZD2,Secreted Signaling,WNT3_FZD2
206,WNT3,FZD3,Secreted Signaling,WNT3_FZD3
207,WNT3,FZD4,Secreted Signaling,WNT3_FZD4
208,WNT3,FZD5,Secreted Signaling,WNT3_FZD5
209,WNT3,FZD6,Secreted Signaling,WNT3_FZD6
210,WNT3,FZD7,Secreted Signaling,WNT3_FZD7
211,WNT3,FZD8,Secreted Signaling,WNT3_FZD8
212,WNT3,FZD9,Secreted Signaling,WNT3_FZD9
213,WNT3A,FZD1,Secreted Signaling,WNT3A_FZD1
214,WNT3A,LRP5,Secreted Signaling,WNT3A_LRP5
215,WNT3A,FZD10,Secreted Signaling,WNT3A_FZD10
216,WNT3A,FZD2,Secreted Signaling,WNT3A_FZD2
217,WNT3A,FZD3,Secreted Signaling,WNT3A_FZD3
218,WNT3A,FZD4,Secreted Signaling,WNT3A_FZD4
219,WNT3A,FZD5,Secreted Signaling,WNT3A_FZD5
220,WNT3A,FZD6,Secreted Signaling,WNT3A_FZD6
221,WNT3A,FZD7,Secreted Signaling,WNT3A_FZD7
222,WNT3A,FZD8,Secreted Signaling,WNT3A_FZD8
223,WNT3A,FZD9,Secreted Signaling,WNT3A_FZD9
224,WNT4,FZD1,Secreted Signaling,WNT4_FZD1
225,WNT4,LRP5,Secreted Signaling,WNT4_LRP5
226,WNT4,FZD10,Secreted Signaling,WNT4_FZD10
227,WNT4,FZD2,Secreted Signaling,WNT4_FZD2
228,WNT4,FZD3,Secreted Signaling,WNT4_FZD3
229,WNT4,FZD4,Secreted Signaling,WNT4_FZD4
230,WNT4,FZD5,Secreted Signaling,WNT4_FZD5
231,WNT4,FZD6,Secreted Signaling,WNT4_FZD6
232,WNT4,FZD7,Secreted Signaling,WNT4_FZD7
233,WNT4,FZD8,Secreted Signaling,WNT4_FZD8
234,WNT4,FZD9,Secreted Signaling,WNT4_FZD9
235,WNT6,FZD1,Secreted Signaling,WNT6_FZD1
236,WNT6,LRP5,Secreted Signaling,WNT6_LRP5
237,WNT6,FZD10,Secreted Signaling,WNT6_FZD10
238,WNT6,FZD2,Secreted Signaling,WNT6_FZD2
239,WNT6,FZD3,Secreted Signaling,WNT6_FZD3
240,WNT6,FZD4,Secreted Signaling,WNT6_FZD4
241,WNT6,FZD5,Secreted Signaling,WNT6_FZD5
242,WNT6,FZD6,Secreted Signaling,WNT6_FZD6
243,WNT6,FZD7,Secreted Signaling,WNT6_FZD7
244,WNT6,FZD8,Secreted Signaling,WNT6_FZD8
245,WNT6,FZD9,Secreted Signaling,WNT6_FZD9
246,WNT7A,FZD1,Secreted Signaling,WNT7A_FZD1
247,WNT7A,LRP5,Secreted Signaling,WNT7A_LRP5
248,WNT7A,FZD10,Secreted Signaling,WNT7A_FZD10
249,WNT7A,FZD2,Secreted Signaling,WNT7A_FZD2
250,WNT7A,FZD3,Secreted Signaling,WNT7A_FZD3
251,WNT7A,FZD4,Secreted Signaling,WNT7A_FZD4
252,WNT7A,FZD5,Secreted Signaling,WNT7A_FZD5
253,WNT7A,FZD6,Secreted Signaling,WNT7A_FZD6
254,WNT7A,FZD7,Secreted Signaling,WNT7A_FZD7
255,WNT7A,FZD8,Secreted Signaling,WNT7A_FZD8
256,WNT7A,FZD9,Secreted Signaling,WNT7A_FZD9
257,WNT7B,FZD1,Secreted Signaling,WNT7B_FZD1
258,WNT7B,LRP5,Secreted Signaling,WNT7B_LRP5
259,WNT7B,FZD10,Secreted Signaling,WNT7B_FZD10
260,WNT7B,FZD2,Secreted Signaling,WNT7B_FZD2
261,WNT7B,FZD3,Secreted Signaling,WNT7B_FZD3
262,WNT7B,FZD4,Secreted Signaling,WNT7B_FZD4
263,WNT7B,FZD5,Secreted Signaling,WNT7B_FZD5
264,WNT7B,FZD6,Secreted Signaling,WNT7B_FZD6
265,WNT7B,FZD7,Secreted Signaling,WNT7B_FZD7
266,WNT7B,FZD8,Secreted Signaling,WNT7B_FZD8
267,WNT7B,FZD9,Secreted Signaling,WNT7B_FZD9
268,WNT8A,FZD1,Secreted Signaling,WNT8A_FZD1
269,WNT8A,LRP5,Secreted Signaling,WNT8A_LRP5
270,WNT8A,FZD10,Secreted Signaling,WNT8A_FZD10
271,WNT8A,FZD2,Secreted Signaling,WNT8A_FZD2
272,WNT8A,FZD3,Secreted Signaling,WNT8A_FZD3
273,WNT8A,FZD4,Secreted Signaling,WNT8A_FZD4
274,WNT8A,FZD5,Secreted Signaling,WNT8A_FZD5
275,WNT8A,FZD6,Secreted Signaling,WNT8A_FZD6
276,WNT8A,FZD7,Secreted Signaling,WNT8A_FZD7
277,WNT8A,FZD8,Secreted Signaling,WNT8A_FZD8
278,WNT8A,FZD9,Secreted Signaling,WNT8A_FZD9
279,WNT8B,FZD1,Secreted Signaling,WNT8B_FZD1
280,WNT8B,LRP5,Secreted Signaling,WNT8B_LRP5
281,WNT8B,FZD10,Secreted Signaling,WNT8B_FZD10
282,WNT8B,FZD2,Secreted Signaling,WNT8B_FZD2
283,WNT8B,FZD3,Secreted Signaling,WNT8B_FZD3
284,WNT8B,FZD4,Secreted Signaling,WNT8B_FZD4
285,WNT8B,FZD5,Secreted Signaling,WNT8B_FZD5
286,WNT8B,FZD6,Secreted Signaling,WNT8B_FZD6
287,WNT8B,FZD7,Secreted Signaling,WNT8B_FZD7
288,WNT8B,FZD8,Secreted Signaling,WNT8B_FZD8
289,WNT8B,FZD9,Secreted Signaling,WNT8B_FZD9
290,WNT9A,FZD1,Secreted Signaling,WNT9A_FZD1
291,WNT9A,LRP5,Secreted Signaling,WNT9A_LRP5
292,WNT9A,FZD10,Secreted Signaling,WNT9A_FZD10
293,WNT9A,FZD2,Secreted Signaling,WNT9A_FZD2
294,WNT9A,FZD3,Secreted Signaling,WNT9A_FZD3
295,WNT9A,FZD4,Secreted Signaling,WNT9A_FZD4
296,WNT9A,FZD5,Secreted Signaling,WNT9A_FZD5
297,WNT9A,FZD6,Secreted Signaling,WNT9A_FZD6
298,WNT9A,FZD7,Secreted Signaling,WNT9A_FZD7
299,WNT9A,FZD8,Secreted Signaling,WNT9A_FZD8
300,WNT9A,FZD9,Secreted Signaling,WNT9A_FZD9
301,WNT9B,FZD1,Secreted Signaling,WNT9B_FZD1
302,WNT9B,LRP5,Secreted Signaling,WNT9B_LRP5
303,WNT9B,FZD10,Secreted Signaling,WNT9B_FZD10
304,WNT9B,FZD2,Secreted Signaling,WNT9B_FZD2
305,WNT9B,FZD3,Secreted Signaling,WNT9B_FZD3
306,WNT9B,FZD4,Secreted Signaling,WNT9B_FZD4
307,WNT9B,FZD5,Secreted Signaling,WNT9B_FZD5
308,WNT9B,FZD6,Secreted Signaling,WNT9B_FZD6
309,WNT9B,FZD7,Secreted Signaling,WNT9B_FZD7
310,WNT9B,FZD8,Secreted Signaling,WNT9B_FZD8
311,WNT9B,FZD9,Secreted Signaling,WNT9B_FZD9
312,WNT1,LRP6,Secreted Signaling,WNT1_LRP6
313,WNT10A,LRP6,Secreted Signaling,WNT10A_LRP6
314,WNT10B,LRP6,Secreted Signaling,WNT10B_LRP6
315,WNT16,LRP6,Secreted Signaling,WNT16_LRP6
316,WNT2,LRP6,Secreted Signaling,WNT2_LRP6
317,WNT2B,LRP6,Secreted Signaling,WNT2B_LRP6
318,WNT3,LRP6,Secreted Signaling,WNT3_LRP6
319,WNT3A,LRP6,Secreted Signaling,WNT3A_LRP6
320,WNT4,LRP6,Secreted Signaling,WNT4_LRP6
321,WNT6,LRP6,Secreted Signaling,WNT6_LRP6
322,WNT7A,LRP6,Secreted Signaling,WNT7A_LRP6
323,WNT7B,LRP6,Secreted Signaling,WNT7B_LRP6
324,WNT8A,LRP6,Secreted Signaling,WNT8A_LRP6
325,WNT8B,LRP6,Secreted Signaling,WNT8B_LRP6
326,WNT9A,LRP6,Secreted Signaling,WNT9A_LRP6
327,WNT9B,LRP6,Secreted Signaling,WNT9B_LRP6
328,WNT5A,FZD1,Secreted Signaling,WNT5A_FZD1
329,WNT5A,FZD10,Secreted Signaling,WNT5A_FZD10
330,WNT5A,FZD2,Secreted Signaling,WNT5A_FZD2
331,WNT5A,FZD3,Secreted Signaling,WNT5A_FZD3
332,WNT5A,FZD4,Secreted Signaling,WNT5A_FZD4
333,WNT5A,FZD5,Secreted Signaling,WNT5A_FZD5
334,WNT5A,FZD6,Secreted Signaling,WNT5A_FZD6
335,WNT5A,FZD7,Secreted Signaling,WNT5A_FZD7
336,WNT5A,FZD8,Secreted Signaling,WNT5A_FZD8
337,WNT5A,FZD9,Secreted Signaling,WNT5A_FZD9
338,WNT5A,MCAM,Secreted Signaling,WNT5A_MCAM
339,WNT5B,FZD1,Secreted Signaling,WNT5B_FZD1
340,WNT5B,FZD10,Secreted Signaling,WNT5B_FZD10
341,WNT5B,FZD2,Secreted Signaling,WNT5B_FZD2
342,WNT5B,FZD3,Secreted Signaling,WNT5B_FZD3
343,WNT5B,FZD4,Secreted Signaling,WNT5B_FZD4
344,WNT5B,FZD5,Secreted Signaling,WNT5B_FZD5
345,WNT5B,FZD6,Secreted Signaling,WNT5B_FZD6
346,WNT5B,FZD7,Secreted Signaling,WNT5B_FZD7
347,WNT5B,FZD8,Secreted Signaling,WNT5B_FZD8
348,WNT5B,FZD9,Secreted Signaling,WNT5B_FZD9
349,WNT11,FZD1,Secreted Signaling,WNT11_FZD1
350,WNT11,FZD10,Secreted Signaling,WNT11_FZD10
351,WNT11,FZD2,Secreted Signaling,WNT11_FZD2
352,WNT11,FZD3,Secreted Signaling,WNT11_FZD3
353,WNT11,FZD4,Secreted Signaling,WNT11_FZD4
354,WNT11,FZD5,Secreted Signaling,WNT11_FZD5
355,WNT11,FZD6,Secreted Signaling,WNT11_FZD6
356,WNT11,FZD7,Secreted Signaling,WNT11_FZD7
357,WNT11,FZD8,Secreted Signaling,WNT11_FZD8
358,WNT11,FZD9,Secreted Signaling,WNT11_FZD9
359,EGF,EGFR,Secreted Signaling,EGF_EGFR
360,EGF,ERBB2,Secreted Signaling,EGF_ERBB2
361,TGFA,EGFR,Secreted Signaling,TGFA_EGFR
362,TGFA,ERBB2,Secreted Signaling,TGFA_ERBB2
363,AREG,EGFR,Secreted Signaling,AREG_EGFR
364,AREG,ERBB2,Secreted Signaling,AREG_ERBB2
365,BTC,EGFR,Secreted Signaling,BTC_EGFR
366,BTC,ERBB2,Secreted Signaling,BTC_ERBB2
367,BTC,ERBB4,Secreted Signaling,BTC_ERBB4
368,HBEGF,EGFR,Secreted Signaling,HBEGF_EGFR
369,HBEGF,ERBB2,Secreted Signaling,HBEGF_ERBB2
370,HBEGF,ERBB4,Secreted Signaling,HBEGF_ERBB4
371,EREG,EGFR,Secreted Signaling,EREG_EGFR
372,EREG,ERBB2,Secreted Signaling,EREG_ERBB2
373,EREG,ERBB4,Secreted Signaling,EREG_ERBB4
374,NRG1,ERBB3,Secreted Signaling,NRG1_ERBB3
375,NRG1,ERBB2,Secreted Signaling,NRG1_ERBB2
376,NRG1,ERBB4,Secreted Signaling,NRG1_ERBB4
377,NRG2,ERBB3,Secreted Signaling,NRG2_ERBB3
378,NRG2,ERBB2,Secreted Signaling,NRG2_ERBB2
379,NRG2,ERBB4,Secreted Signaling,NRG2_ERBB4
380,NRG3,ERBB4,Secreted Signaling,NRG3_ERBB4
381,NRG3,ERBB2,Secreted Signaling,NRG3_ERBB2
382,NRG4,ERBB4,Secreted Signaling,NRG4_ERBB4
383,NRG4,ERBB2,Secreted Signaling,NRG4_ERBB2
384,NRG1,ITGAV,Secreted Signaling,NRG1_ITGAV
385,NRG1,ITGB3,Secreted Signaling,NRG1_ITGB3
386,FGF1,FGFR1,Secreted Signaling,FGF1_FGFR1
387,FGF1,FGFR2,Secreted Signaling,FGF1_FGFR2
388,FGF1,FGFR3,Secreted Signaling,FGF1_FGFR3
389,FGF1,FGFR4,Secreted Signaling,FGF1_FGFR4
390,FGF2,FGFR1,Secreted Signaling,FGF2_FGFR1
391,FGF2,FGFR2,Secreted Signaling,FGF2_FGFR2
392,FGF2,FGFR3,Secreted Signaling,FGF2_FGFR3
393,FGF2,FGFR4,Secreted Signaling,FGF2_FGFR4
394,FGF4,FGFR1,Secreted Signaling,FGF4_FGFR1
395,FGF4,FGFR2,Secreted Signaling,FGF4_FGFR2
396,FGF4,FGFR3,Secreted Signaling,FGF4_FGFR3
397,FGF4,FGFR4,Secreted Signaling,FGF4_FGFR4
398,FGF5,FGFR1,Secreted Signaling,FGF5_FGFR1
399,FGF5,FGFR2,Secreted Signaling,FGF5_FGFR2
400,FGF5,FGFR3,Secreted Signaling,FGF5_FGFR3
401,FGF5,FGFR4,Secreted Signaling,FGF5_FGFR4
402,FGF6,FGFR1,Secreted Signaling,FGF6_FGFR1
403,FGF6,FGFR2,Secreted Signaling,FGF6_FGFR2
404,FGF6,FGFR3,Secreted Signaling,FGF6_FGFR3
405,FGF6,FGFR4,Secreted Signaling,FGF6_FGFR4
406,FGF7,FGFR1,Secreted Signaling,FGF7_FGFR1
407,FGF7,FGFR2,Secreted Signaling,FGF7_FGFR2
408,FGF3,FGFR1,Secreted Signaling,FGF3_FGFR1
409,FGF3,FGFR2,Secreted Signaling,FGF3_FGFR2
410,FGF10,FGFR1,Secreted Signaling,FGF10_FGFR1
411,FGF10,FGFR2,Secreted Signaling,FGF10_FGFR2
412,FGF22,FGFR2,Secreted Signaling,FGF22_FGFR2
413,FGF8,FGFR1,Secreted Signaling,FGF8_FGFR1
414,FGF8,FGFR2,Secreted Signaling,FGF8_FGFR2
415,FGF8,FGFR3,Secreted Signaling,FGF8_FGFR3
416,FGF8,FGFR4,Secreted Signaling,FGF8_FGFR4
417,FGF17,FGFR1,Secreted Signaling,FGF17_FGFR1
418,FGF17,FGFR2,Secreted Signaling,FGF17_FGFR2
419,FGF17,FGFR3,Secreted Signaling,FGF17_FGFR3
420,FGF17,FGFR4,Secreted Signaling,FGF17_FGFR4
421,FGF18,FGFR1,Secreted Signaling,FGF18_FGFR1
